Overall_Rank,scheme_name,fund_house,CAGR_3Y,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,Fund_Score
25,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,18.04,0.46403744922047735,0.13173190226099432,1.54,-0.14844576917771746,44.74358974358974
26,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,11.25,0.3006119210425479,0.11989100971217971,0.78,-0.21117279560132118,41.02564102564102
27,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,17.27,0.49427253786723485,0.13042924450705445,1.59,-0.1757361416468729,40.51282051282051
28,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.7,-0.08874729621557331,0.06455677495375998,0.6,-0.0011629327956168556,39.61538461538461
29,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,8.01,0.44843400890899154,0.1750072167561127,1.53,-0.2334488614483311,38.84615384615385
30,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,4.06,-0.356629507514368,0.05074772999976104,0.55,-0.08316361763638702,32.94871794871795
31,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,5.84,-0.22657538662791588,0.05620895216638369,0.77,-0.04328728923970093,32.43589743589744
32,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,6.32,-0.8155673679088272,0.060861457957871144,0.79,-0.0016224980244717857,31.53846153846154
33,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,3.92,-0.5670947928476847,0.042817920315060876,0.56,-0.04308263824636349,30.128205128205124
34,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,7.76,0.07599984804658917,0.0780443887615508,1.56,-0.24003511326274884,28.46153846153846
35,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.53,0.03078485095458589,0.0689952982167755,1.64,-0.1440161790933726,23.846153846153847
36,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,-1.34,-0.05718662582817997,0.048824215945539845,0.72,-0.5257422117012851,22.17948717948718
37,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,-4.15,0.16266076928646783,0.10897091901704538,1.53,-0.3544691649336603,22.179487179487175
38,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-11.71,-0.07597357117478926,0.048015953637759554,1.38,-0.5167775370852656,15.897435897435898
39,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,1.29,-0.2015170675596694,0.03747580763443281,1.55,-0.24734440880673303,14.871794871794872
40,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-0.77,-0.20583160785470317,0.028969397866379445,1.51,-0.2800112356639287,13.46153846153846
